homelat,homelon,homecontinent,n
-82.9,135,Antarctica,4
-54.8,-68.3,South America,4
-53.8,-67.7,South America,1
-53.2,-70.9,NA,2
-52.4,-71,South America,2
-51.7,-72.5,South America,2
-51.6,-69.2,South America,4
-51.6,-69.2,NA,1
-49.7,178.8,NA,1
-47.8,-65.9,NA,2
-46.5,-71.6,South America,2
-46.4,-67.5,South America,1
-46.1,169.6,Australia,1
-45.9,-67.5,South America,2
-45.9,170.5,Australia,62
-45.9,170.7,Australia,1
-45.8,170.6,Australia,2
-44.9,168.7,Australia,1
